1, C60, P13
1666, C94, P3
1667, C38, P5
1668, C87, P20
1669, C91, P12
1670, C98, P5
1671, C81, P3
1672, C11, P15
1673, C26, P3
1674, C70, P18
1675, C19, P14
1676, C71, P18
1677, C18, P5
1678, C71, P11
1679, C95, P2
1680, C78, P4
1681, C23, P14
1682, C68, P12
1683, C32, P6
1684, C47, P7
1685, C36, P1
1686, C79, P2
1687, C19, P11
1688, C69, P17
1689, C60, P16
1690, C72, P8
1691, C58, P3
1692, C17, P12
1693, C19, P7
1694, C62, P17
1695, C78, P17
1696, C4, P8
1697, C29, P7
1698, C48, P4
1699, C63, P17
1700, C32, P15
1701, C100, P13
1702, C54, P14
1703, C8, P17
1704, C41, P16
1705, C18, P5
1706, C52, P15
1707, C69, P20
1708, C81, P10
1709, C13, P9
1710, C66, P14
1711, C61, P14
1712, C24, P20
1713, C7, P13
1714, C63, P1
1715, C56, P19
1716, C51, P14
1717, C65, P2
1718, C4, P1
1719, C51, P18
1720, C22, P18
1721, C57, P5
1722, C94, P17
1723, C79, P6
1724, C11, P9
1725, C45, P5
1726, C84, P10
1727, C12, P10
1728, C36, P16
1729, C24, P13
1730, C36, P17
1731, C86, P19
1732, C14, P15
1733, C36, P17
1734, C74, P20
1735, C18, P3
1736, C42, P9
1737, C67, P18
1738, C35, P16
1739, C8, P9
1740, C92, P19
1741, C55, P5
1742, C82, P9
1743, C53, P11
1744, C31, P10
1745, C62, P3
1746, C67, P12
1747, C79, P9
1748, C69, P4
1749, C11, P16
1750, C22, P1
1751, C11, P5
1752, C25, P2
1753, C37, P11
1754, C80, P14
1755, C80, P16
1756, C37, P6
1757, C18, P17
1758, C59, P10
1759, C79, P8
1760, C5, P2
1761, C98, P13
1762, C72, P20
1763, C67, P8
1764, C11, P2
1765, C40, P1
1766, C32, P4
1767, C13, P8
1768, C33, P3
1769, C81, P4
1770, C54, P16
1771, C68, P19
1772, C65, P17
1773, C47, P5
1774, C100, P4
1775, C29, P12
1776, C100, P13
1777, C76, P7
1778, C69, P20
1779, C11, P18
1780, C33, P2
1781, C47, P14
1782, C65, P10
1783, C8, P13
1784, C99, P16
1785, C14, P15
1786, C78, P11
1787, C40, P9
1788, C17, P1
1789, C33, P3
1790, C37, P15
1791, C92, P5
1792, C21, P9
1793, C89, P5
1794, C93, P18
1795, C26, P16
1796, C59, P11
1797, C27, P14
1798, C16, P15
1799, C69, P7
1800, C34, P4
1801, C9, P9
1802, C62, P6
1803, C37, P10
1804, C20, P1
1805, C4, P15
1806, C72, P16
1807, C71, P4
1808, C49, P11
1809, C22, P20
1810, C79, P19
1811, C84, P16
1812, C58, P19
1813, C21, P11
1814, C4, P12
1815, C39, P20
1816, C85, P13
1817, C14, P1
1818, C54, P9
1819, C9, P11
1820, C33, P17
1821, C68, P11
1822, C23, P13
1823, C4, P3
1824, C97, P15
1825, C36, P8
1826, C32, P14
1827, C75, P7
1828, C88, P7
1829, C34, P16
1830, C18, P7
1831, C46, P18
1832, C61, P19
1833, C23, P8
1834, C60, P13
1835, C54, P17
1836, C13, P9
1837, C11, P17
1838, C43, P8
1839, C93, P19
1840, C26, P20
1841, C76, P10
1842, C28, P9
1843, C22, P7
1844, C66, P15
1845, C10, P10
1846, C52, P8
1847, C37, P5
1848, C80, P13
1849, C54, P11
1850, C32, P6
1851, C13, P11
1852, C24, P15
1853, C3, P5
1854, C18, P12
1855, C33, P8
1856, C90, P7
1857, C71, P7
1858, C77, P8
1859, C82, P16
1860, C66, P19
1861, C80, P15
1862, C13, P19
1863, C85, P4
1864, C34, P1
1865, C15, P19
1866, C34, P4
1867, C1, P11
1868, C13, P20
1869, C92, P2
1870, C39, P15
1871, C32, P2
1872, C100, P13
1873, C87, P16
1874, C20, P15
1875, C22, P18
1876, C62, P15
1877, C50, P14
1878, C84, P19
1879, C83, P10
1880, C88, P20
1881, C52, P8
1882, C50, P19
1883, C40, P10
1884, C95, P9
1885, C68, P1
1886, C3, P5
1887, C67, P1
1888, C75, P2
1889, C89, P7
1890, C11, P8
1891, C75, P4
1892, C55, P7
1893, C70, P19
1894, C30, P4
1895, C60, P3
1896, C16, P13
1897, C7, P3
1898, C3, P20
1899, C36, P9
1900, C12, P10
1901, C49, P15
1902, C39, P9
1903, C83, P5
1904, C73, P11
1905, C49, P20
1906, C42, P15
1907, C61, P5
1908, C13, P7
1909, C51, P10
1910, C15, P20
1911, C84, P15
1912, C47, P15
1913, C100, P2
1914, C15, P7
1915, C66, P12
1916, C59, P12
1917, C45, P5
1918, C74, P12
1919, C88, P11
1920, C44, P17
1921, C92, P11
1922, C30, P7
1923, C84, P11
1924, C17, P4
1925, C9, P6
1926, C64, P18
1927, C43, P11
1928, C55, P8
1929, C34, P14
1930, C66, P18
1931, C80, P4
1932, C93, P19
1933, C14, P18
1934, C62, P2
1935, C1, P4
1936, C54, P16
1937, C23, P7
1938, C72, P14
1939, C54, P8
1940, C47, P9
1941, C98, P1
1942, C44, P1
1943, C17, P20
1944, C51, P20
1945, C20, P15
1946, C73, P4
1947, C55, P10
1948, C72, P10
1949, C35, P17
1950, C25, P12
1951, C46, P1
1952, C31, P16
1953, C40, P6
1954, C94, P8
1955, C12, P17
1956, C13, P6
1957, C67, P7
1958, C44, P11
1959, C13, P14
1960, C43, P7
1961, C92, P8
1962, C44, P11
1963, C62, P5
1964, C39, P4
1965, C79, P4
1966, C99, P19
1967, C17, P16
1968, C23, P8
1969, C90, P16
1970, C60, P1
1971, C77, P12
1972, C68, P13
1973, C74, P18
1974, C46, P13
1975, C56, P6
1976, C99, P17
1977, C19, P10
1978, C31, P6
1979, C54, P8
1980, C15, P2
1981, C34, P9
1982, C85, P1
1983, C44, P12
1984, C70, P6
1985, C33, P14
1986, C76, P16
1987, C15, P4
1988, C50, P12
1989, C56, P17
1990, C66, P2
1991, C51, P19
1992, C43, P9
1993, C31, P18
1994, C46, P7
1995, C62, P10
1996, C38, P16
1997, C3, P19
1998, C99, P4
1999, C19, P9
2000, C49, P19
2001, C54, P17
2002, C23, P16
2003, C61, P20
2004, C40, P10
2005, C26, P18
2006, C35, P15
2007, C92, P1
2008, C67, P3
2009, C10, P1
2010, C40, P1
2011, C76, P17
2012, C2, P17
2013, C92, P15
2014, C19, P13
2015, C91, P12
2016, C19, P17
2017, C26, P1
2018, C64, P18
2019, C62, P16
2020, C87, P17
2021, C61, P14
2022, C28, P13
2023, C55, P12
2024, C5, P6
2025, C15, P12
2026, C88, P8
2027, C55, P8
2028, C76, P18
2029, C74, P2
2030, C43, P12
2031, C3, P11
2032, C54, P10
2033, C2, P15
2034, C59, P8
2035, C63, P1
2036, C48, P13
2037, C50, P4
2038, C60, P19
2039, C97, P4
2040, C61, P20
2041, C5, P6
2042, C83, P2
2043, C16, P18
2044, C51, P14
2045, C68, P19
2046, C24, P7
2047, C43, P14
2048, C100, P2
2049, C13, P17
2050, C80, P16
2051, C67, P20
2052, C15, P19
2053, C59, P20
2054, C98, P1
2055, C86, P5
2056, C31, P4
2057, C12, P5
2058, C32, P1
2059, C72, P13
2060, C87, P11
2061, C75, P16
2062, C85, P10
2063, C70, P9
2064, C21, P14
2065, C11, P9
2066, C69, P1
2067, C66, P15
2068, C16, P15
2069, C51, P19
2070, C35, P5
2071, C18, P10
2072, C31, P4
2073, C49, P17
2074, C17, P12
2075, C33, P4
2076, C95, P17
2077, C30, P9
2078, C72, P18
2079, C59, P4
2080, C36, P5
2081, C64, P9
2082, C5, P20
2083, C42, P2
2084, C71, P17
2085, C74, P8
2086, C25, P11
2087, C32, P4
2088, C99, P17
2089, C97, P3
2090, C94, P11
2091, C67, P9
2092, C21, P3
2093, C93, P8
2094, C16, P7
2095, C64, P11
2096, C44, P12
2097, C33, P12
2098, C45, P15
2099, C68, P15
2100, C24, P4
2101, C11, P14
2102, C11, P19
2103, C37, P11
2104, C3, P3
2105, C95, P12
2106, C51, P5
2107, C21, P15
2108, C13, P11
2109, C80, P10
2110, C56, P16
2111, C67, P16
2112, C71, P1
2113, C64, P17
2114, C42, P6
2115, C77, P5
2116, C84, P2
2117, C76, P4
2118, C52, P10
2119, C69, P7
2120, C8, P6
2121, C51, P4
2122, C57, P9
2123, C1, P7
2124, C96, P4
2125, C43, P5
2126, C28, P13
2127, C93, P2
2128, C34, P16
2129, C77, P12
2130, C4, P6
2131, C87, P17
2132, C87, P17
2133, C40, P19
2134, C68, P13
2135, C60, P11
2136, C34, P4
2137, C79, P20
2138, C66, P6
2139, C4, P16
2140, C85, P4
2141, C84, P20
2142, C57, P4
2143, C89, P13
2144, C86, P13
2145, C29, P6
2146, C94, P6
2147, C8, P3
2148, C83, P3
2149, C56, P18
2150, C18, P1
2151, C71, P4
2152, C9, P16
2153, C80, P2
2154, C82, P19
2155, C19, P19
2156, C36, P13
2157, C83, P3
2158, C28, P2
2159, C39, P16
2160, C99, P11
2161, C71, P19
2162, C48, P5
2163, C87, P6
2164, C55, P13
2165, C71, P1
2166, C68, P18
2167, C92, P20
2168, C58, P4
2169, C14, P15
2170, C37, P13
2171, C38, P4
2172, C42, P9
2173, C54, P17
2174, C31, P7
2175, C59, P20
2176, C88, P17
2177, C10, P15
2178, C38, P18
2179, C69, P6
2180, C15, P12
2181, C37, P10
2182, C56, P14
2183, C66, P20
2184, C8, P12
2185, C1, P3
2186, C26, P10
2187, C92, P15
2188, C71, P19
2189, C81, P4
2190, C2, P11
2191, C1, P3
2192, C29, P17
2193, C21, P8
2194, C97, P15
2195, C86, P11
2196, C45, P18
2197, C3, P1
2198, C43, P5
2199, C57, P6
2200, C43, P1
2201, C14, P5
2202, C32, P14
2203, C45, P3
2204, C25, P12
2205, C51, P12
2206, C25, P2
2207, C39, P18
2208, C23, P19
2209, C7, P1
2210, C100, P7
2211, C93, P8
2212, C28, P5
2213, C39, P8
2214, C2, P13
2215, C78, P6
2216, C38, P17
2217, C2, P18
2218, C78, P13
2219, C56, P17
2220, C9, P19
2221, C41, P4
2222, C42, P12
2223, C54, P9
2224, C75, P18
2225, C41, P14
2226, C90, P9
2227, C5, P10
2228, C19, P3
2229, C62, P10
2230, C83, P20
2231, C1, P16
2232, C11, P15
2233, C97, P17
2234, C33, P16
2235, C38, P14
2236, C45, P5
2237, C98, P6
2238, C29, P3
2239, C78, P3
2240, C45, P10
2241, C20, P5
2242, C85, P16
2243, C97, P7
2244, C14, P1
2245, C48, P4
2246, C50, P7
2247, C9, P1
2248, C77, P2
2249, C29, P16
2250, C89, P2
2251, C31, P11
2252, C53, P5
2253, C52, P1
2254, C89, P20
2255, C77, P11
2256, C25, P9
2257, C10, P11
2258, C73, P7
2259, C23, P2
2260, C70, P8
2261, C78, P13
2262, C51, P2
2263, C71, P10
2264, C97, P13
2265, C65, P15
2266, C3, P19
2267, C76, P2
2268, C6, P16
2269, C91, P8
2270, C27, P3
2271, C18, P1
2272, C38, P5
2273, C15, P7
2274, C37, P3
2275, C100, P12
2276, C58, P20
2277, C34, P18
2278, C96, P18
2279, C57, P10
2280, C21, P1
2281, C11, P10
2282, C39, P6
2283, C91, P12
2284, C49, P10
2285, C22, P3
2286, C47, P18
2287, C58, P3
2288, C92, P20
2289, C35, P15
2290, C48, P7
2291, C41, P6
2292, C74, P13
2293, C25, P4
2294, C43, P10
2295, C28, P4
2296, C55, P13
2297, C41, P18
2298, C2, P12
2299, C68, P18
2300, C77, P15
2301, C49, P6
2302, C78, P18
2303, C11, P14
2304, C23, P16
2305, C46, P13
2306, C8, P1
2307, C13, P12
2308, C55, P19
2309, C88, P11
2310, C59, P3
2311, C70, P18
2312, C30, P17
2313, C81, P12
2314, C31, P8
2315, C47, P10
2316, C99, P10
2317, C28, P15
2318, C67, P7
2319, C87, P15
2320, C43, P3
2321, C9, P10
2322, C85, P14
2323, C14, P13
2324, C73, P14
2325, C16, P12
2326, C27, P12
2327, C97, P14
2328, C96, P1
2329, C67, P4
2330, C24, P10
2331, C33, P13
2332, C6, P1
2333, C71, P1
2334, C58, P12
2335, C43, P3
2336, C56, P20
2337, C22, P11
2338, C12, P1
2339, C53, P18
2340, C61, P10
2341, C61, P18
2342, C91, P13
2343, C77, P9
2344, C94, P1
2345, C78, P8
2346, C18, P10
2347, C29, P10
2348, C64, P3
2349, C14, P4
2350, C89, P4
2351, C9, P1
2352, C18, P3
2353, C63, P6
2354, C55, P5
2355, C71, P16
2356, C55, P8
2357, C73, P3
2358, C58, P7
2359, C7, P6
2360, C81, P19
2361, C60, P7
2362, C25, P19
2363, C26, P14
2364, C99, P2
2365, C81, P6
2366, C72, P12
2367, C17, P2
2368, C2, P10
2369, C92, P12
2370, C9, P16
2371, C40, P13
2372, C8, P17
2373, C5, P15
2374, C57, P8
2375, C95, P7
2376, C90, P20
2377, C34, P20
2378, C16, P19
2379, C53, P5
2380, C90, P18
2381, C43, P12
2382, C8, P9
2383, C79, P4
2384, C45, P19
2385, C51, P10
2386, C18, P6
2387, C55, P17
2388, C64, P13
2389, C21, P4
2390, C55, P10
2391, C62, P10
2392, C19, P16
2393, C25, P5
2394, C23, P12
2395, C39, P17
2396, C41, P8
2397, C17, P19
2398, C52, P5
2399, C52, P20
2400, C52, P17
2401, C72, P6
2402, C85, P19
2403, C95, P10
2404, C7, P19
2405, C84, P16
2406, C99, P9
2407, C43, P17
2408, C74, P11
2409, C2, P14
2410, C27, P10
2411, C11, P3
2412, C78, P12
2413, C95, P9
2414, C16, P16
2415, C66, P20
2416, C80, P13
2417, C10, P10
2418, C17, P2
2419, C32, P18
2420, C33, P20
2421, C18, P2
2422, C13, P19
2423, C34, P18
2424, C16, P20
2425, C61, P8
2426, C26, P10
2427, C45, P9
2428, C78, P1
2429, C77, P14
2430, C33, P2
2431, C89, P17
2432, C39, P4
2433, C38, P6
2434, C78, P6
2435, C29, P18
2436, C100, P9
2437, C95, P7
2438, C58, P19
2439, C62, P19
2440, C66, P1
2441, C47, P2
2442, C46, P10
2443, C37, P17
2444, C68, P7
2445, C89, P20
2446, C13, P7
2447, C70, P2
2448, C33, P10
2449, C38, P4
2450, C51, P7
2451, C59, P11
2452, C33, P9
2453, C97, P13
2454, C51, P3
2455, C100, P2
2456, C33, P11
2457, C14, P10
2458, C34, P4
2459, C53, P12
2460, C49, P5
2461, C100, P12
2462, C61, P1
2463, C40, P5
2464, C78, P15
2465, C54, P7
2466, C76, P4
2467, C60, P14
2468, C41, P15
2469, C45, P10
2470, C86, P12
2471, C40, P18
2472, C73, P20
2473, C9, P2
2474, C51, P11
2475, C60, P14
2476, C3, P6
2477, C26, P4
2478, C18, P4
2479, C73, P15
2480, C83, P11
2481, C40, P18
2482, C74, P13
2483, C61, P7
2484, C63, P11
2485, C51, P20
2486, C58, P19
2487, C91, P6
2488, C96, P7
2489, C8, P11
2490, C5, P4
2491, C55, P12
2492, C43, P6
2493, C41, P2
2494, C13, P2
2495, C16, P4
2496, C87, P11
2497, C73, P13
2498, C29, P7
2499, C41, P11
2500, C72, P2
2501, C45, P4
2502, C61, P13
2503, C37, P19
2504, C33, P16
2505, C60, P20
2506, C31, P18
2507, C19, P4
2508, C79, P20
2509, C30, P15
2510, C100, P10
2511, C76, P15
2512, C51, P4
2513, C100, P3
2514, C94, P18
2515, C16, P16
2516, C86, P17
2517, C88, P3
2518, C81, P11
2519, C80, P19
2520, C41, P13
2521, C27, P1
2522, C10, P9
2523, C99, P2
2524, C90, P2
2525, C100, P19
2526, C24, P17
2527, C80, P16
2528, C77, P15
2529, C97, P18
2530, C60, P10
2531, C14, P2
2532, C79, P11
2533, C73, P12
2534, C24, P3
2535, C49, P10
2536, C30, P19
2537, C7, P16
2538, C13, P18
2539, C95, P10
2540, C82, P6
2541, C53, P17
2542, C98, P10
2543, C77, P13
2544, C87, P15
2545, C19, P18
2546, C38, P19
2547, C84, P8
2548, C57, P11
2549, C9, P6
2550, C59, P20
2551, C19, P2
2552, C65, P3
2553, C37, P4
2554, C43, P8
2555, C31, P13
2556, C48, P16
2557, C63, P11
2558, C8, P5
2559, C45, P14
2560, C57, P6
2561, C59, P1
2562, C70, P2
2563, C52, P18
2564, C70, P20
2565, C47, P3
2566, C37, P5
2567, C64, P17
2568, C54, P7
2569, C4, P6
2570, C78, P18
2571, C87, P14
2572, C89, P8
2573, C50, P20
2574, C21, P14
2575, C92, P2
2576, C63, P18
2577, C76, P12
2578, C45, P10
2579, C79, P18
2580, C62, P10
2581, C32, P4
2582, C31, P8
2583, C54, P8
2584, C91, P1
2585, C18, P4
2586, C44, P13
2587, C71, P11
2588, C9, P4
2589, C47, P15
2590, C53, P8
2591, C49, P17
2592, C32, P13
2593, C86, P5
2594, C69, P4
2595, C39, P19
2596, C25, P7
2597, C47, P15
2598, C44, P15
2599, C59, P15
2600, C89, P16
2601, C86, P8
2602, C85, P17
2603, C60, P20
2604, C95, P20
2605, C20, P20
2606, C79, P12
2607, C99, P17
2608, C36, P2
2609, C70, P16
2610, C31, P8
2611, C76, P12
2612, C87, P9
2613, C97, P3
2614, C63, P9
2615, C52, P15
2616, C4, P6
2617, C93, P8
2618, C46, P4
2619, C20, P14
2620, C48, P9
2621, C97, P19
2622, C13, P17
2623, C43, P14
2624, C91, P16
2625, C41, P4
2626, C91, P3
2627, C2, P13
2628, C63, P20
2629, C18, P9
2630, C10, P19
2631, C98, P2
2632, C98, P2
2633, C59, P7
2634, C99, P5
2635, C24, P13
2636, C68, P7
2637, C34, P16
2638, C100, P3
2639, C50, P19
2640, C63, P7
2641, C79, P12
2642, C75, P18
2643, C6, P11
2644, C15, P7
2645, C94, P10
2646, C80, P6
2647, C46, P4
2648, C94, P9
2649, C68, P14
2650, C86, P1
2651, C28, P7
2652, C78, P4
2653, C4, P12
2654, C5, P19
2655, C19, P10
2656, C98, P11
2657, C5, P9
2658, C42, P20
2659, C95, P5
2660, C96, P20
2661, C80, P12
2662, C8, P15
2663, C5, P2
2664, C19, P17
2665, C45, P11
2666, C49, P13
2667, C8, P2
2668, C63, P5
2669, C31, P15
2670, C23, P17
2671, C61, P5
2672, C93, P5
2673, C9, P17
2674, C31, P17
2675, C7, P6
2676, C17, P14
2677, C81, P6
2678, C59, P4
2679, C76, P14
2680, C68, P13
2681, C51, P14
2682, C81, P9
2683, C81, P4
2684, C32, P8
2685, C61, P11
2686, C49, P1
2687, C10, P4
2688, C16, P20
2689, C51, P5
2690, C83, P18
2691, C12, P9
2692, C90, P5
2693, C65, P12
2694, C23, P9
2695, C36, P1
2696, C97, P1
2697, C44, P7
2698, C87, P17
2699, C67, P7
2700, C98, P5
2701, C41, P17
2702, C8, P8
2703, C58, P4
2704, C59, P11
2705, C57, P18
2706, C51, P4
2707, C76, P2
2708, C60, P7
2709, C83, P3
2710, C22, P16
2711, C33, P12
2712, C63, P2
2713, C64, P16
2714, C67, P17
2715, C73, P13
2716, C63, P2
2717, C51, P8
2718, C57, P2
2719, C69, P8
2720, C40, P11
2721, C75, P10
2722, C97, P6
2723, C58, P11
2724, C98, P1
2725, C26, P9
2726, C58, P19
2727, C83, P1
2728, C46, P13
2729, C5, P13
2730, C83, P2
2731, C56, P5
2732, C24, P12
2733, C42, P13
2734, C17, P4
2735, C82, P13
2736, C30, P8
2737, C34, P10
2738, C92, P2
2739, C81, P6
2740, C11, P17
2741, C74, P20
2742, C33, P3
2743, C37, P13
2744, C12, P19
2745, C8, P17
2746, C25, P11
2747, C70, P16
2748, C5, P13
2749, C75, P11
2750, C23, P8
2751, C14, P8
2752, C27, P18
2753, C13, P19
2754, C98, P20
2755, C95, P9
2756, C9, P5
2757, C4, P4
2758, C76, P8
2759, C58, P17
2760, C8, P18
2761, C91, P2
2762, C68, P10
2763, C3, P6
2764, C72, P15
2765, C42, P1
2766, C91, P17
2767, C36, P7
2768, C5, P11
2769, C21, P10
2770, C58, P7
2771, C42, P14
2772, C65, P11
2773, C64, P8
2774, C95, P6
2775, C89, P1
2776, C54, P4
2777, C67, P11
2778, C58, P14
2779, C49, P7
2780, C53, P15
2781, C82, P6
2782, C17, P11
2783, C50, P14
2784, C15, P2
2785, C59, P10
2786, C89, P12
2787, C19, P5
2788, C24, P20
2789, C32, P5
2790, C24, P18
2791, C91, P10
2792, C31, P13
2793, C32, P14
2794, C88, P3
2795, C61, P15
2796, C31, P13
2797, C60, P8
2798, C16, P5
2799, C95, P14
2800, C38, P14
2801, C28, P3
2802, C5, P7
2803, C27, P1
2804, C2, P20
2805, C55, P19
2806, C62, P6
2807, C8, P1
2808, C33, P10
2809, C82, P3
2810, C16, P20
2811, C98, P13
2812, C91, P19
2813, C89, P6
2814, C36, P5
2815, C9, P5
2816, C96, P10
2817, C67, P7
2818, C19, P5
2819, C21, P7
2820, C45, P11
2821, C77, P17
2822, C50, P14
2823, C37, P12
2824, C73, P16
2825, C54, P20
2826, C77, P15
2827, C70, P14
2828, C83, P5
2829, C69, P20
2830, C23, P15
2831, C93, P1
2832, C60, P20
2833, C56, P15
2834, C14, P16
2835, C15, P2
2836, C43, P16
2837, C70, P4
2838, C96, P13
2839, C76, P6
2840, C43, P19
2841, C49, P19
2842, C37, P19
2843, C43, P17
2844, C62, P17
2845, C17, P3
2846, C11, P4
2847, C78, P10
2848, C36, P5
2849, C40, P4
2850, C35, P9
2851, C18, P15
2852, C2, P20
2853, C34, P7
2854, C15, P6
2855, C46, P17
2856, C59, P4
2857, C43, P20
2858, C15, P6
2859, C37, P16
2860, C29, P4
2861, C91, P13
2862, C37, P13
2863, C11, P11
2864, C55, P13
2865, C57, P2
2866, C37, P13
2867, C38, P1
2868, C20, P14
2869, C83, P4
2870, C1, P17
2871, C24, P15
2872, C45, P20
2873, C99, P15
2874, C1, P12
2875, C87, P8
2876, C2, P1
2877, C34, P18
2878, C44, P3
2879, C87, P14
2880, C52, P13
2881, C7, P18
2882, C66, P3
2883, C76, P2
2884, C33, P11
2885, C44, P4
2886, C12, P7
2887, C22, P1
2888, C28, P18
2889, C88, P14
2890, C29, P3
2891, C7, P9
2892, C47, P15
2893, C36, P3
2894, C65, P20
2895, C78, P10
2896, C33, P12
2897, C57, P15
2898, C20, P7
2899, C5, P5
2900, C83, P2
2901, C81, P3
2902, C26, P19
2903, C68, P7
2904, C45, P20
2905, C65, P19
2906, C99, P13
2907, C52, P5
2908, C71, P18
2909, C90, P2
2910, C93, P18
2911, C8, P18
2912, C31, P19
2913, C30, P5
2914, C90, P4
2915, C71, P11
2916, C64, P20
2917, C81, P10
2918, C15, P12
2919, C91, P8
2920, C40, P14
2921, C63, P5
2922, C96, P16
2923, C51, P11
2924, C53, P11
2925, C48, P9
2926, C14, P10
2927, C99, P6
2928, C9, P16
2929, C17, P5
2930, C76, P12
2931, C55, P6
2932, C41, P1
2933, C89, P20
2934, C78, P14
2935, C43, P20
2936, C20, P3
2937, C81, P15
2938, C70, P16
2939, C78, P20
2940, C47, P17
2941, C48, P15
2942, C59, P9
2943, C54, P11
2944, C66, P14
2945, C27, P12
2946, C57, P8
2947, C19, P15
2948, C29, P6
2949, C81, P6
2950, C48, P14
2951, C52, P18
2952, C21, P8
2953, C68, P4
2954, C61, P20
2955, C94, P12
2956, C21, P4
2957, C56, P8
2958, C83, P1
2959, C87, P7
2960, C42, P9
2961, C68, P17
2962, C24, P13
2963, C36, P14
2964, C7, P16
2965, C36, P1
2966, C97, P14
2967, C78, P11
2968, C82, P13
2969, C96, P17
2970, C77, P7
2971, C67, P19
2972, C24, P18
2973, C47, P2
2974, C82, P15
2975, C97, P10
2976, C56, P12
2977, C13, P19
2978, C38, P2
2979, C80, P9
2980, C96, P8
2981, C86, P12
2982, C80, P6
2983, C41, P8
2984, C94, P18
2985, C52, P9
2986, C81, P10
2987, C71, P1
2988, C100, P18
2989, C35, P15
2990, C60, P13
2991, C63, P17
2992, C87, P20
2993, C89, P9
2994, C22, P9
2995, C78, P17
2996, C31, P7
2997, C70, P3
2998, C10, P8
2999, C28, P5
3000, C100, P15
3001, C57, P7
3002, C31, P17
3003, C94, P16
3004, C1, P4
3005, C35, P3
3006, C41, P17
3007, C45, P19
3008, C34, P12
3009, C70, P15
3010, C77, P14
3011, C27, P7
3012, C26, P19
3013, C32, P14
3014, C15, P12
3015, C93, P10
3016, C7, P6
3017, C54, P6
3018, C90, P9
3019, C36, P15
3020, C64, P14
3021, C55, P19
3022, C71, P4
3023, C28, P9
3024, C82, P20
3025, C10, P18
3026, C9, P9
3027, C51, P8
3028, C25, P7
3029, C66, P13
3030, C53, P11
3031, C13, P10
3032, C55, P5
3033, C91, P7
3034, C40, P6
3035, C24, P4
3036, C85, P9
3037, C40, P10
3038, C18, P13
3039, C73, P18
3040, C93, P3
3041, C2, P7
3042, C84, P18
3043, C65, P5
3044, C42, P17
3045, C51, P7
3046, C57, P2
3047, C18, P10
3048, C96, P8
3049, C76, P9
3050, C20, P19
3051, C18, P13
3052, C42, P19
3053, C43, P1
3054, C15, P9
3055, C97, P10
3056, C86, P19
3057, C34, P20
3058, C90, P16
3059, C27, P13
3060, C65, P13
3061, C21, P14
3062, C42, P3
3063, C76, P14
3064, C76, P16
3065, C3, P6
3066, C94, P18
3067, C7, P11
3068, C47, P1
3069, C54, P8
3070, C97, P18
3071, C97, P19
3072, C74, P8
3073, C47, P20
3074, C28, P1
3075, C34, P7
3076, C22, P17
3077, C63, P7
3078, C29, P17
3079, C20, P16
3080, C50, P5
3081, C26, P4
3082, C48, P1
3083, C49, P5
3084, C5, P13
3085, C100, P12
3086, C7, P19
3087, C47, P16
3088, C57, P2
3089, C79, P19
3090, C94, P7
3091, C62, P17
3092, C1, P18
3093, C73, P19
3094, C29, P10
3095, C26, P20
3096, C3, P5
3097, C98, P10
3098, C48, P8
3099, C6, P14
3100, C67, P18
3101, C90, P8
3102, C33, P7
3103, C16, P18
3104, C11, P20
3105, C86, P2
3106, C3, P13
3107, C22, P12
3108, C46, P13
3109, C63, P18
3110, C39, P11
3111, C24, P15
3112, C79, P11
3113, C49, P9
3114, C82, P8
3115, C90, P5
3116, C90, P14
3117, C40, P16
3118, C28, P19
3119, C40, P13
3120, C93, P4
3121, C52, P1
3122, C33, P6
3123, C85, P12
3124, C88, P5
3125, C66, P18
3126, C95, P4
3127, C71, P5
3128, C82, P8
3129, C59, P10
3130, C56, P10
3131, C87, P15
3132, C1, P6
3133, C90, P20
3134, C6, P3
3135, C38, P1
3136, C47, P11
3137, C18, P8
3138, C47, P8
3139, C82, P13
3140, C58, P3
3141, C11, P12
3142, C74, P16
3143, C25, P8
3144, C62, P6
3145, C42, P1
3146, C97, P18
3147, C33, P10
3148, C65, P1
3149, C72, P20
3150, C54, P20
3151, C35, P15
3152, C67, P19
3153, C1, P4
3154, C43, P5
3155, C48, P11
3156, C64, P6
3157, C70, P16
3158, C15, P16
3159, C21, P5
3160, C26, P7
3161, C72, P9
3162, C39, P14
3163, C7, P15
3164, C66, P9
3165, C74, P16
3166, C38, P15
3167, C62, P15
3168, C56, P5
3169, C21, P8
3170, C13, P11
3171, C20, P7
3172, C79, P5
3173, C74, P5
3174, C52, P20
3175, C74, P18
3176, C39, P13
3177, C40, P8
3178, C6, P16
3179, C19, P7
3180, C5, P1
3181, C81, P5
3182, C42, P19
3183, C91, P15
3184, C47, P4
3185, C98, P4
3186, C88, P16
3187, C86, P2
3188, C68, P7
3189, C82, P1
3190, C7, P5
3191, C30, P17
3192, C64, P20
3193, C39, P16
3194, C100, P2
3195, C28, P18
3196, C99, P13
3197, C47, P10
3198, C71, P15
3199, C85, P16
3200, C80, P12
3201, C82, P4
3202, C100, P19
3203, C35, P7
3204, C99, P8
3205, C24, P8
3206, C85, P4
3207, C20, P15
3208, C81, P20
3209, C98, P16
3210, C8, P6
3211, C13, P1
3212, C81, P12
3213, C75, P7
3214, C96, P16
3215, C39, P18
3216, C51, P4
3217, C68, P4
3218, C75, P8
3219, C80, P3
